stamp,x,y,z,qw,qx,qy,qz
1642400975.070342161,0.710119,0.347410,-0.145261,0.673123,-0.737091,-0.045278,0.039393
1642400975.940627596,0.712252,0.353258,-0.143867,0.673087,-0.737122,-0.045218,0.039500
1642400976.518558897,0.712607,0.355448,-0.139789,0.673092,-0.737119,-0.045220,0.039479
1642400976.922540940,0.713828,0.356378,-0.139342,0.673098,-0.737121,-0.045127,0.039435
1642400977.404145050,0.713483,0.355040,-0.141003,0.673082,-0.737128,-0.045216,0.039472
1642400977.930766819,0.712323,0.356722,-0.140629,0.673687,-0.736576,-0.045170,0.039514
1642400978.428413579,0.711061,0.357194,-0.147669,0.673664,-0.736594,-0.045175,0.039560
1642400978.970515108,0.709383,0.349535,-0.136249,0.673696,-0.736568,-0.045140,0.039546
1642400979.839095621,0.711517,0.349952,-0.140392,0.672990,-0.737146,-0.045733,0.040121
1642400980.696793597,0.713889,0.350078,-0.139753,0.672977,-0.737150,-0.045781,0.040189
1642400981.164431667,0.713104,0.349932,-0.142948,0.672996,-0.737136,-0.045761,0.040159
1642400981.766525903,0.715027,0.352207,-0.144797,0.673004,-0.737129,-0.045769,0.040136
1642400982.265810320,0.710138,0.353372,-0.137062,0.673014,-0.737122,-0.045758,0.040119
1642400982.826056578,0.710579,0.352054,-0.139054,0.673009,-0.737124,-0.045775,0.040148
1642400983.235219437,0.710929,0.354820,-0.143370,0.672979,-0.737078,-0.046366,0.040812
1642400984.229750224,0.711459,0.352248,-0.145446,0.672973,-0.737092,-0.046283,0.040753
1642400984.928699722,0.709887,0.352240,-0.141159,0.672937,-0.737119,-0.046315,0.040824
1642400985.435908102,0.710658,0.351640,-0.138679,0.672905,-0.737147,-0.046308,0.040841
1642400985.991111242,0.710512,0.351415,-0.136169,0.672893,-0.737168,-0.046223,0.040764
1642400986.522427548,0.706820,0.351261,-0.142573,0.672888,-0.737170,-0.046236,0.040801
1642400987.004590227,0.709898,0.351548,-0.135534,0.672887,-0.737165,-0.046284,0.040857
1642400987.499425007,0.711952,0.351935,-0.149783,0.672868,-0.737182,-0.046279,0.040862
1642400987.959408494,0.713287,0.350742,-0.143654,0.672866,-0.737191,-0.046215,0.040793
1642400988.571786953,0.711094,0.351666,-0.149342,0.672864,-0.737186,-0.046272,0.040859
1642400989.031048093,0.713605,0.348463,-0.140264,0.672870,-0.737180,-0.046296,0.040846
1642400989.432670003,0.713985,0.346397,-0.131775,0.672875,-0.737175,-0.046296,0.040849
1642400989.809462248,0.714274,0.345588,-0.130746,0.672828,-0.737138,-0.046934,0.041555
1642400990.423578174,0.713131,0.345689,-0.133573,0.672845,-0.737126,-0.046889,0.041545
1642400991.321123680,0.711360,0.350761,-0.155004,0.672825,-0.737145,-0.046904,0.041522
1642400991.909461895,0.712022,0.351654,-0.152466,0.672824,-0.737150,-0.046871,0.041478
1642400992.345239982,0.711170,0.351039,-0.150245,0.672819,-0.737153,-0.046901,0.041481
1642400992.905508769,0.711437,0.352454,-0.150666,0.672839,-0.737131,-0.046922,0.041511
1642400993.302881205,0.711578,0.350391,-0.154280,0.672846,-0.737132,-0.046868,0.041445
1642400993.702419819,0.713092,0.350051,-0.143510,0.672834,-0.737139,-0.046900,0.041476
1642400994.187546864,0.711954,0.349172,-0.147751,0.672836,-0.737139,-0.046888,0.041468
1642400994.648962405,0.711475,0.351112,-0.146984,0.672849,-0.737125,-0.046906,0.041476
1642400995.207658144,0.707917,0.352469,-0.141889,0.674600,-0.735050,-0.051544,0.044262
1642400995.569508941,0.709132,0.348106,-0.136264,0.674559,-0.735098,-0.051503,0.044155
1642400995.980724536,0.708975,0.350886,-0.138439,0.674564,-0.735024,-0.051937,0.044790
1642400996.559565450,0.711102,0.354865,-0.134618,0.674363,-0.735214,-0.052333,0.044223
1642400997.208390907,0.702314,0.361286,-0.147932,0.673793,-0.735716,-0.052403,0.044481
1642400998.181090827,0.701919,0.365236,-0.131313,0.682810,-0.727336,-0.054112,0.042718
