stamp,x,y,z,qw,qx,qy,qz
1642401106.964199056,4.64652,1.30325,0.329819,0.99969,0.0178188,0.011169,-0.0133212
1642401107.518345988,4.60957,1.2977,0.382673,0.999623,0.0190932,0.0129858,-0.014854
1642401107.945501670,4.60791,1.29989,0.411823,0.999617,0.0209304,0.0115547,-0.013943
1642401108.843624850,4.5879,1.29662,0.379774,0.999666,0.0213083,0.00902943,-0.011493
1642401109.405907460,4.60092,1.29392,0.344529,0.999595,0.0232152,0.00814787,-0.0143037
1642401110.119747877,4.57231,1.28901,0.420506,0.999532,0.0263984,0.00917236,-0.0124112
1642401110.651456412,4.60015,1.30578,0.335516,0.999429,0.0290548,0.0105921,-0.0136431
1642401111.171127098,4.57246,1.29737,0.376153,0.999387,0.0314384,0.00825868,-0.0130382
1642401111.576438153,4.57845,1.30344,0.336492,0.999419,0.0314867,0.0055281,-0.0118077
1642401112.564745003,4.57326,1.29277,0.351304,0.999343,0.0314983,0.0111289,-0.0140896
1642401113.239956629,4.58034,1.2956,0.374922,0.999295,0.0330702,0.00984785,-0.0147991
1642401113.478888367,4.57092,1.29297,0.397076,0.999331,0.0318795,0.00961378,-0.0151047
1642401114.387065303,4.57419,1.29366,0.31341,0.999407,0.0305626,0.00791657,-0.0137396
1642401114.920796430,4.56531,1.29474,0.422893,0.999267,0.0336121,0.0107507,-0.0148346
1642401115.464667778,4.57531,1.30267,0.364813,0.999325,0.031344,0.010758,-0.015879
1642401116.042038398,4.55848,1.31129,0.401179,0.999405,0.028926,0.0120919,-0.0143715
1642401116.711161162,4.55634,1.30507,0.464475,0.999298,0.0308469,0.0130179,-0.0168176
1642401117.320973277,4.56536,1.29626,0.366431,0.999288,0.0300144,0.0149278,-0.0173418
1642401117.786698069,4.55887,1.30204,0.413101,0.999312,0.0319012,0.0121997,-0.0144238
1642401118.484124888,4.57163,1.3064,0.371305,0.998813,0.0396821,0.0185412,-0.0213004
1642401119.016295831,4.56315,1.30496,0.382317,0.998514,0.0421125,0.0235505,-0.0253428
1642401119.490822072,4.56802,1.29368,0.385186,0.998929,0.0388652,0.015463,-0.019801
1642401120.098160580,4.54539,1.30097,0.48969,0.855455,-0.515824,-0.00190162,-0.04602
1642401120.902918696,,,,,,,
1642401121.515100640,,,,,,,
1642401122.084340510,,,,,,,
1642401122.686797087,,,,,,,
1642401123.249515992,,,,,,,
1642401123.817120636,,,,,,,
1642401124.347165114,,,,,,,
1642401124.895282961,,,,,,,
1642401125.318663896,,,,,,,
1642401125.820648355,,,,,,,
1642401126.280274397,,,,,,,
1642401126.731376914,,,,,,,
1642401127.607082178,,,,,,,
1642401128.086666577,,,,,,,
1642401128.488812399,,,,,,,
1642401128.921252995,,,,,,,
1642401129.384741881,,,,,,,
1642401129.883840439,4.56641,1.32306,0.567613,0.9992,0.032002,0.0177642,-0.0160951
1642401130.406302239,4.57402,1.3125,0.569486,0.99947,0.0271315,0.0127557,-0.0127214
1642401131.051290932,4.58005,1.3075,0.553833,0.999386,0.0282063,0.0139376,-0.0153962
1642401131.540396631,4.57819,1.31123,0.517819,0.999483,0.0281035,0.00924925,-0.0125594
1642401132.087594335,4.6001,1.32254,0.493052,0.99923,0.0340271,0.0133933,-0.0142126
1642401132.617438458,4.58742,1.29675,0.517418,0.999362,0.0306506,0.0111872,-0.0145186
1642401133.053901868,4.59395,1.30636,0.459002,0.999275,0.0333137,0.0122997,-0.0136904
1642401133.603541210,4.58278,1.29786,0.475084,0.999049,0.039311,0.0131375,-0.0135667
1642401134.094366616,4.57585,1.31397,0.4652,0.999064,0.040464,0.00981169,-0.0117275
1642401134.517855137,4.5823,1.29655,0.474016,0.998939,0.0430843,0.0107456,-0.0121845
1642401134.908096710,4.58053,1.30154,0.483522,0.999068,0.0400558,0.0103683,-0.0122557
1642401135.574571464,4.58533,1.29885,0.440876,0.999025,0.041258,0.01027,-0.0118614
1642401136.165732218,4.57395,1.29155,0.51365,0.99909,0.0389319,0.0124721,-0.0121405
1642401136.698144509,4.5899,1.30098,0.467018,0.99905,0.041038,0.008765,-0.0117273
1642401137.186939003,4.57421,1.29738,0.521286,0.998966,0.0420807,0.0115433,-0.012775
1642401137.750857991,4.59578,1.30093,0.332388,0.998811,0.0431901,0.016762,-0.0151448
1642401138.150737826,4.63161,1.29446,0.233178,0.9995,0.0291536,0.00798443,-0.00932666
1642401138.563562277,4.66344,1.29608,0.400099,0.999782,0.0173719,0.00747285,-0.008853
1642401139.086666168,4.65669,1.2933,0.406355,0.99978,0.0164199,0.00771878,-0.0104769
1642401139.575794107,4.64633,1.29172,0.413807,0.999657,0.0202629,0.0132837,-0.00991239
1642401140.159514713,4.64754,1.29225,0.370555,0.999673,0.019315,0.0133463,-0.0101405
1642401140.517491082,4.65841,1.29652,0.394803,0.999706,0.0189799,0.0120164,-0.00910865
1642401141.143900831,4.64224,1.29169,0.52085,0.9996,0.020389,0.0153055,-0.0122525
1642401141.878033979,4.66109,1.29737,0.371833,0.999574,0.0262873,0.00931733,-0.008582
1642401142.645610589,4.66583,1.30209,0.34511,0.999646,0.0222231,0.0108598,-0.00980088
1642401143.321498898,4.67637,1.30472,0.276951,0.99959,0.0259627,0.00912968,-0.00789738
1642401143.806626391,4.65532,1.29944,0.326308,0.999626,0.0243867,0.0088816,-0.00858323
1642401144.280817075,4.6536,1.29932,0.355464,0.999613,0.0250408,0.00711606,-0.00975576
1642401144.772890756,4.67038,1.3019,0.340052,0.933748,-0.352745,0.0457222,-0.0399459
1642401145.250812121,4.65618,1.30245,0.331491,0.999486,0.0287247,0.0109024,-0.00918645
1642401145.624307771,4.66226,1.29449,0.352111,0.935047,-0.350559,0.0375609,-0.0372013
1642401147.083455365,4.61783,1.28453,0.392213,0.999388,0.0309982,0.0112996,-0.0116446
1642401147.877287647,4.63071,1.28869,0.389586,0.999389,0.0337316,0.00435355,-0.0080956
1642401148.453361767,4.3797,1.15279,1.2433,0.990455,-0.13297,0.0270263,-0.0242413
1642401148.917431269,4.63275,1.28661,0.360041,0.999258,0.0343376,0.0147028,-0.00936421
1642401149.417267566,4.62875,1.28796,0.368342,0.999365,0.0330748,0.00886118,-0.0098697
1642401149.847235100,4.63425,1.2895,0.341999,0.99932,0.0334309,0.0116608,-0.0102971
1642401150.180171369,4.62812,1.29101,0.339259,0.944972,-0.323105,0.0366473,-0.0358837
1642401150.555194690,4.63176,1.28874,0.340454,0.999133,0.0368307,0.0145756,-0.01284
1642401151.147496678,4.61832,1.2734,0.400089,0.94627,-0.320299,0.031239,-0.0317244
1642401151.892126884,4.61724,1.28612,0.387939,0.999351,0.0314339,0.0117753,-0.0130706
1642401152.220254118,4.62179,1.28591,0.374958,0.999401,0.0315253,0.0108274,-0.00926168
1642401152.859433153,4.6367,1.29088,0.289873,0.999407,0.0335842,0.00299878,-0.00700334
1642401153.653410365,4.64891,1.3045,0.281699,0.943953,-0.32703,0.0335603,-0.0296284
1642401154.087599340,4.63955,1.29201,0.231107,0.939494,-0.340433,0.0274977,-0.0264552
1642401154.415606860,4.656,1.29814,0.225508,0.941803,-0.334245,0.0235672,-0.0270478
1642401154.980959534,4.65097,1.29532,0.260895,0.999515,0.0292312,0.0059954,-0.00885394
1642401155.485837253,4.65607,1.29592,0.175564,0.999529,0.0271414,0.0106691,-0.00958041
1642401156.405104953,4.67071,1.29209,0.190105,0.999844,0.0138217,0.00603273,-0.00915606
1642401157.451859622,4.68551,1.29939,0.191543,0.999862,0.015886,-0.000238002,-0.00479476
1642401158.246088774,4.68929,1.30032,0.155479,0.999896,0.0133062,0.000145083,-0.00552089
1642401158.856312000,4.69686,1.29742,0.252671,0.937572,-0.345728,0.031462,-0.0209959
1642401159.324816547,4.69086,1.30032,0.220637,0.999662,0.0191043,0.0140971,-0.0105487
1642401159.872695926,4.6844,1.29273,0.193522,0.999824,0.0166332,0.00497957,-0.00705502
1642401160.309094631,4.69029,1.29869,0.193902,0.936867,-0.348267,0.0252013,-0.0188548
1642401161.051157086,4.69532,1.29387,0.209773,0.935615,-0.351269,0.0302081,-0.0179455
1642401162.059081265,4.67082,1.29369,0.332972,0.938999,-0.341808,0.0335059,-0.0180506
1642401162.404975462,4.67229,1.29284,0.289121,0.999795,0.0184884,0.00374129,-0.00740485
1642401162.888110988,4.67818,1.28727,0.21363,0.999754,0.0209023,0.00106584,-0.00739648
1642401163.381289007,4.68422,1.2897,0.165038,0.999674,0.0208797,0.0116444,-0.00895678
1642401164.058560952,4.6773,1.29918,0.131341,0.999828,0.017464,-0.00141948,-0.00603432
1642401164.533408766,4.67644,1.27082,0.148748,0.999787,0.0195894,-0.00260887,-0.00589603
1642401164.990014057,4.6755,1.29342,0.119709,0.999698,0.0191389,0.0129153,-0.00840283
1642401166.056195075,4.68482,1.28047,0.0949692,0.937344,-0.347208,0.0234846,-0.0167987
1642401167.060673409,4.67902,1.28079,0.102012,0.999815,0.0165727,0.00518033,-0.00825762
1642401167.529507433,4.69041,1.28623,0.192969,0.99983,0.0160144,0.00544404,-0.00729752
1642401167.911261259,4.68097,1.28453,0.0945316,0.999732,0.021941,0.000666012,-0.00736369
1642401168.436110232,4.69101,1.2831,0.132471,0.999783,0.0183329,0.00515571,-0.00845038
1642401169.076573383,4.67349,1.27952,0.157614,0.999869,0.0140492,0.00173271,-0.00785606
1642401169.659195189,4.67594,1.27781,0.134176,0.999817,0.0128218,0.0113909,-0.00845908
1642401170.309430523,4.69341,1.28715,0.0519424,0.999778,0.0197121,0.00162253,-0.00723928
1642401171.208158096,4.68423,1.28834,0.0575604,0.999797,0.0124245,0.0125677,-0.00969877
1642401171.974174074,4.6958,1.28048,0.176402,0.942294,-0.333486,0.024758,-0.0160004
1642401172.553670103,4.70446,1.28615,-0.00181795,0.941973,-0.334723,0.0195101,-0.0163355
1642401173.208153279,4.67442,1.27346,0.198018,0.999794,0.0164808,0.00900163,-0.0076406
1642401173.795308019,4.6849,1.28167,0.150303,0.939654,-0.341066,0.021145,-0.0166504
1642401174.281792718,4.69279,1.27718,0.136263,0.939215,-0.340342,0.0411395,-0.0187183
1642401174.639467802,4.68304,1.27909,0.129172,0.999829,0.0156709,-0.00612148,-0.00769278
1642401175.320711617,4.69145,1.28623,0.167252,0.999794,0.0186512,-0.00347676,-0.00719135
1642401176.009551102,4.68462,1.28283,0.0677991,0.999656,0.0175822,0.0163023,-0.0105918
1642401176.487945595,4.6823,1.27421,0.123702,0.999743,0.0211504,0.00356737,-0.00734062
1642401177.088356765,4.69158,1.27977,0.0916291,0.999844,0.0156275,0.00343147,-0.0075328
1642401177.596706826,4.67842,1.27481,0.114929,0.999686,0.0170715,0.0146193,-0.0110456
1642401178.197348399,4.67857,1.27462,0.1324,0.999393,0.0211095,0.024686,-0.0125582
1642401178.886085067,4.68154,1.27853,0.128363,0.937359,-0.346187,0.0344836,-0.0179955
1642401179.291666398,4.67758,1.27528,0.103648,0.999868,0.0145391,-0.000420578,-0.0071769
1642401179.856228948,4.68186,1.28087,0.0404002,0.999776,0.0161384,-0.0133193,-0.00313491
1642401180.317658537,4.69121,1.28182,0.0380733,0.999821,0.0180185,-0.00233781,-0.0052165
